x,y,token
-28.758465,42.99003,the
-28.892147,43.010056,and
-28.765133,43.303837,of
-29.208563,42.74244,to
-28.94694,41.170715,a
-28.685358,43.26064,in
-41.547207,17.972801,i
-30.774366,40.59904,that
-28.056763,37.454273,he
-30.646181,40.538906,it
-28.379358,37.31688,his
-30.47886,39.4805,for
-32.967037,43.178333,was
-28.574696,43.208755,with
-30.983892,40.262436,not
-36.33833,25.245949,is
-41.580395,17.99389,you
-32.035213,42.000885,be
-32.35974,40.079502,as
-30.777107,40.239506,but
-29.355318,42.75158,all
-26.958721,39.00359,they
-27.975567,37.81153,him
-8.304678,-40.206886,shall
-56.85189,24.775873,her
-41.06624,18.697361,my
-32.89524,43.04555,had
-27.28914,38.61972,them
-32.443752,42.435406,have
-31.123192,34.73956,s
-28.085686,37.933456,me
-43.282753,30.823002,said
-30.310574,38.703796,at
-56.854237,24.772442,she
-28.12393,43.251507,from
35.04006,-30.705086,unto
-30.118988,40.825073,this
-30.535412,41.047832,which
-13.614173,47.07076,on
28.560175,-36.960037,lord
-28.710516,43.50979,by
-27.068014,39.05099,their
-32.3434,40.119625,so
-8.464341,-40.184433,will
-32.957703,44.31737,were
-32.955265,44.415,are
-27.282434,25.763996,there
-30.414827,37.276226,when
-28.881805,43.884,or
-25.209728,25.404097,one
-14.413485,-25.767714,no
-31.446281,40.864723,what
-45.021034,20.626543,"."""
-11.9980135,48.744812,out
-33.98167,29.368618,man
26.554007,-46.65816,thy
-27.013494,26.616068,--
29.986698,-45.36461,thou
22.986347,-30.950403,god
-30.965942,39.906235,if
-26.757053,39.216557,we
-41.303932,18.408451,your
-30.06066,36.757072,then
-19.315508,54.852142,up
-28.76304,41.035534,an
26.638903,-46.625675,thee
-17.328943,-36.79983,do
-41.87674,33.152626,","""
-30.34905,37.66525,now
16.253273,-48.413708,ye
-13.632622,47.052288,upon
-30.777557,33.294403,who
-12.148392,48.769035,into
-5.8971424,16.76685,more
-9.207335,-38.359657,would
-57.325703,12.647448,very
-42.01915,14.890013,come
-9.269215,-38.16129,could
-6.589201,35.433094,like
-33.522465,25.019003,before
-29.135862,-2.0074778,been
-14.342411,-25.678598,any
-13.135784,58.58276,came
-45.24662,9.328975,day
38.07505,-22.970348,king
-9.312538,-38.05629,did
-17.565619,-36.472466,know
-5.893937,16.729658,than
40.811115,-15.463803,house
-26.1466,34.478157,little
-24.676098,25.236408,every
38.002815,-40.29989,1
-32.23841,16.445179,see
-9.414863,-4.7271686,these
-1.7859164,-40.73699,go
-12.802064,-33.594814,good
-19.566338,54.761696,down
38.3647,-40.199467,2
-9.867443,-34.894413,us
30.767406,-23.750017,people
-17.684803,-40.688774,am
-17.774559,21.67387,some
53.462997,-28.607803,son
-28.250086,32.609905,made
18.231842,-0.23539455,men
-26.46947,36.32384,after
-32.572163,40.218468,how
-9.773987,-34.933437,our
-28.091993,14.622084,time
-28.05163,31.46203,great
-1.5932711,-42.828304,let
38.46283,-40.22945,3
-42.99227,16.913343,say
2.6123698,-54.85489,d
-26.30629,25.419065,about
50.391243,-7.805983,israel
-29.456638,9.642954,such
-13.533336,47.110302,over
-9.177924,-38.479183,should
-8.70102,-40.03558,may
20.50459,-30.220474,hath
38.694115,-40.064167,4
-51.32767,11.91738,well
-25.495993,24.54893,only
-3.7880414,13.0636015,even
-25.160143,25.913393,other
-3.0560381,61.334087,hand
44.20453,36.59074,two
39.409115,-39.83862,7
-8.802826,-40.044823,must
38.86873,-40.13458,5
-9.123949,-40.606777,can
20.218637,-17.04912,against
39.320946,-40.09063,6
-47.88421,12.759146,"?"""
-25.368929,-28.341574,much
-13.121816,58.600487,went
-16.675472,-38.805347,make
11.354267,-24.803831,children
-3.2738752,-18.475584,yet
39.736946,-40.00353,9
10.768121,-23.583088,own
39.41434,-39.986546,8
29.359518,-20.096344,also
39.428684,-40.109985,10
-20.175608,54.46528,again
50.920666,-35.751637,father
39.75548,-40.08356,11
-28.524004,26.367796,old
50.590324,-6.1448936,land
31.611197,-34.021725,o
-20.928383,55.16169,away
39.570713,-39.978107,12
-9.564807,-4.967727,things
-13.895776,-16.872385,thing
-9.125074,-38.620308,might
-28.468826,11.776676,first
-30.755737,16.886679,way
40.036022,-39.69153,13
-3.2873685,-18.600273,because
39.855145,-39.763367,14
-16.382631,20.598648,where
-30.24465,-3.214365,never
1.8363566,-40.541435,give
40.056488,-40.284645,15
9.535404,-25.981138,nor
-41.505257,13.680443,here
-46.54674,20.124691,"!"""
-4.3697653,38.71999,long
39.34725,-25.909,saying
1.3946291,-40.662285,take
-3.279644,-18.493769,though
-27.984398,37.351566,himself
39.42503,-39.97459,16
-17.697199,-36.419178,think
14.587774,7.342473,earth
-9.368794,-4.6916175,those
-0.019503303,-14.1729555,ever
-36.035637,25.255484,has
-23.632374,-4.441343,being
-29.17983,48.249676,saw
35.94494,-40.25358,therefore
39.986755,-40.460304,18
-13.270488,31.661661,heard
-27.622234,52.136246,put
-21.546797,6.479955,many
12.614427,29.368126,through
-16.378632,20.375515,place
-23.564028,-12.00257,without
-19.40599,-2.3807154,most
40.087357,-40.374836,19
40.161396,-40.033356,17
16.896383,-13.495748,heart
18.357412,54.329292,head
45.54178,-25.897757,name
-57.41074,12.628159,too
40.573174,-40.233917,20
-14.661609,-26.031519,nothing
34.489174,-38.449055,behold
40.500298,-39.97198,21
4.0802364,-30.087387,life
40.34182,-40.597775,22
-9.997509,42.147198,eyes
24.739809,-11.549087,whom
43.104347,-6.8842206,among
-6.84659,33.01105,still
-24.81798,-29.917154,thought
30.400846,35.77227,sea
-46.202045,30.132399,mr
-28.441996,11.768341,last
-34.074368,18.627602,just
-3.1043031,-33.50898,done
-20.86774,55.12144,off
33.77788,-27.793657,word
0.16428149,30.97113,its
-3.1705298,-13.037654,world
40.382187,-40.545044,23
30.104067,-47.01286,thou_shalt
-9.491542,42.040974,face
-7.39885,-51.791847,why
5.591167,19.505823,night
-0.16713879,-18.758898,days
-28.419298,11.728871,same
-17.41421,18.61573,found
-11.298455,30.74022,voice
-24.852812,25.231506,another
18.584208,-3.3137653,took
12.731945,-46.839252,hear
29.151485,-8.536642,brought
30.730377,-44.67992,hast
44.213184,36.58175,three
2.3371894,16.533777,while
51.315403,-35.554188,mother
37.414406,4.217168,forth
65.092575,-24.001793,sons
40.475067,-40.562683,24
-22.993496,30.42504,look
14.890949,7.2801757,heaven
24.231277,-5.538285,set
57.199142,-0.937344,side
-11.3399105,46.99691,round
17.341703,-5.92748,young
-9.338332,-51.7761,tell
-33.387424,20.480297,right
45.268982,-25.76369,called
4.4324555,33.499348,under
-20.10173,54.558018,back
6.5207567,-31.317932,love
52.48101,-22.91977,david
9.552439,-25.994015,neither
-44.049156,31.891628,cried
42.89988,-20.019949,pass
-6.810847,41.951805,seemed
-51.486366,0.9955999,soon
-57.229206,12.632018,quite
40.251804,-40.905087,25
-47.28357,19.605516,oh
-3.5784364,-2.5719466,both
-13.652085,10.950638,whale
34.047188,-28.231604,words
50.848038,-3.0226312,city
25.776207,-46.923096,thine
39.73413,-40.988373,26
20.82355,-6.058478,left
25.5798,-46.979828,mine
-11.080818,21.553534,till
-23.94604,-29.483265,always
23.686987,10.057015,hands
12.675129,-46.6684,speak
1.838987,-42.40301,bring
-29.212055,48.221184,looked
4.006394,-30.035471,death
-56.89939,24.74369,herself
20.495123,-9.620385,woman
40.515125,-41.25727,27
12.843542,30.768053,far
-35.391556,20.80112,something
-27.957365,13.560035,whole
-5.200238,-19.399414,seen
-27.924913,30.325216,once
-7.4104333,60.585884,stood
7.428251,-16.705555,thus
-22.78959,-34.113846,.--
42.56632,-2.289298,thereof
-25.505194,45.117695,half
18.540146,-3.3301382,gave
16.872557,-13.688496,soul
-7.7271442,-36.285137,poor
-0.19553263,-18.745785,years
38.562046,-21.668,sent
-1.5693293,16.104855,end
40.76488,-40.68062,28
33.69478,8.332164,fire
26.0201,-5.5548587,work
22.38527,12.307098,high
35.160004,-11.619828,together
-45.40658,9.281991,morning
-28.491123,-48.37922,better
-24.1532,-32.388252,indeed
16.246637,-44.97221,according
-60.572613,-18.900366,emma
48.013935,-21.654789,moses
25.04273,-3.2823725,part
37.52631,0.7987255,eat
38.300278,-13.436907,given
-17.146051,-34.641033,sure
-47.108055,14.616685,don_t
34.299446,-36.19524,saith
50.75798,-7.6076064,jerusalem
12.589558,4.1323457,full
1.6896538,-9.469272,whose
50.6481,-7.668371,judah
30.055164,12.337891,water
-9.028765,-40.41387,cannot
12.478799,-30.062454,evil
-25.04188,26.23284,each
-38.418365,27.177715,rather
-57.28285,12.579686,enough
51.55247,-35.407646,brother
40.482918,-29.15055,answered
40.265827,-41.38153,29
-17.89097,-40.707657,myself
-39.41234,13.165117,going
28.28979,40.490204,light
3.7424455,7.9638643,new
42.904415,-28.099642,jesus
22.936623,51.584496,white
-4.830416,-23.00465,told
35.169903,-11.619844,themselves
1.0994117,17.515306,between
-4.7193437,31.966423,almost
-23.136452,-24.83127,mind
-8.063631,-10.774285,body
-22.835646,45.45822,began
-14.91662,54.26322,door
51.631207,-35.4068,wife
1.7182184,-14.309247,rest
-41.937054,5.6866674,moment
25.558582,-16.565245,dead
-21.756163,-33.912907,friend
-4.991974,-23.149612,knew
22.747013,-30.167976,spirit
-46.98965,19.960634,!--
5.312156,56.524105,ship
7.7903676,-18.385975,sight
-1.7658907,-40.736546,get
40.276463,-39.926098,30
18.289268,-43.504925,law
28.984512,-4.818653,blood
-51.54656,19.989126,dear
-49.184555,19.960024,sir
-23.699482,-4.4775667,having
19.644611,-4.0229855,turned
-13.702388,-39.73428,find
