x,y,token
-34.291916,-46.42284,","
-33.54891,-46.200397,the
-33.8369,-46.440372,and
-43.324276,-32.800526,.
-33.300735,-46.70541,of
36.88812,31.904217,:
-34.00435,-46.328976,to
-30.409922,-27.877432,a
-33.163025,-46.861366,in
-10.756139,32.601883,I
-34.261757,-46.431206,;
-30.52423,-28.710985,that
-30.418568,-31.28892,he
-30.477701,-31.057016,his
-29.93197,-25.273296,'
-30.576368,-28.794718,it
-32.130558,-26.604107,was
-29.940887,-34.77518,for
-17.80797,24.119246,not
-33.761646,-46.503998,with
18.059753,37.54595,And
-19.14358,22.860552,is
-30.804707,-28.549286,be
-43.37284,-26.129618,""""
-10.657624,32.611763,you
-28.96494,-28.944267,as
-33.97931,-46.461414,all
-30.507383,-31.570871,him
-30.869724,-31.985804,they
-18.506678,47.632473,shall
-50.274593,-10.573944,her
-30.700542,-31.802341,them
-31.93107,-26.739603,had
-31.806236,-26.87346,have
-33.08193,-30.479816,s
-9.721084,32.115368,my
-43.955307,-25.588636,said
-9.7193575,32.096382,me
-30.530361,-28.812046,but
33.097446,19.596506,unto
6.9723706,-53.038876,-
-32.95999,-47.050503,from
-29.956215,-34.962437,at
-30.48179,-28.764814,which
-32.59669,-47.310444,on
-33.12123,-46.899677,by
-30.58194,-28.583565,this
-33.348026,-45.639164,The
0.085775755,-39.32458,their
-50.27335,-10.552998,she
-11.583428,39.765507,?
-18.547192,47.599968,will
-37.265427,-43.940063,were
32.616814,27.93525,LORD
-37.27087,-43.948986,are
-28.95506,-28.9606,so
23.557665,40.926632,thou
-0.56517327,-7.7181,or
-43.141994,-32.62474,"."""
-16.759424,-21.449999,one
-13.434857,46.273613,!
-24.449976,-51.835865,out
-18.074993,-27.990519,--
-30.556381,-26.164633,man
21.98172,40.53403,thy
-28.530432,-34.95727,when
-29.62104,-37.765476,there
-24.455494,-51.820763,up
-3.512805,42.42416,no
30.948092,26.631523,God
-9.976435,32.286243,your
22.157045,40.381027,thee
-30.371834,-27.66522,an
-43.570583,-26.10737,","""
18.124846,37.545074,But
-32.41342,-47.444424,upon
31.543415,32.549835,ye
-18.999428,37.854904,do
-7.2558165,48.628265,we
-9.897534,38.939323,what
-24.43057,-51.85841,into
-14.139111,-21.601059,more
-29.4521,-28.402115,if
-19.17414,49.076187,would
-25.279755,30.247555,very
-30.352781,-31.183844,He
-31.75991,-22.575577,who
-19.275723,49.306885,could
-48.91716,8.4861355,been
-10.5389385,29.612715,now
-5.0796494,-44.649246,like
-27.442015,-30.911425,before
-22.430883,43.36233,any
-26.26432,-43.56326,came
-55.11151,-5.3058333,day
-16.62917,30.859455,come
-19.382576,38.53672,know
-16.563208,39.53008,am
-19.318695,49.40702,did
-10.410916,29.563078,then
44.755188,41.8224,1
-14.166169,-21.57829,than
50.152588,13.900677,house
-33.32701,-36.186382,little
45.03041,41.64476,2
-6.5150003,49.190044,us
41.912983,21.634232,people
-16.381424,-27.76963,great
-24.468637,-51.79964,down
-15.656412,35.314407,see
-19.385674,-22.640017,made
17.67055,1.0438998,every
-23.85244,32.63101,good
18.207146,37.553215,For
-22.28347,39.058823,say
12.14276,2.9381504,men
45.1107,41.60486,3
-55.08794,-5.3761635,time
51.04531,19.681522,king
58.294567,1.2360959,Israel
12.57938,31.685354,d
-17.803183,-15.839578,some
-20.52388,25.428335,It
-29.804155,-34.829166,about
45.24509,41.48506,4
-17.443716,30.377592,go
-6.4808245,49.212364,our
-19.10654,48.915825,should
-9.689251,-48.479168,over
30.551918,22.808247,hath
-18.718407,48.023136,may
-16.706034,-21.456032,other
-26.843615,-31.441322,after
-11.365612,-58.353752,hand
-4.2502513,-4.2729616,these
61.418854,21.720327,son
-17.274284,8.1516905,only
45.451958,41.338856,7
-60.278984,10.190966,Mr
-24.363487,0.5716667,such
45.239395,41.463104,5
45.50613,41.314075,6
-11.661184,39.707306,"?"""
-26.256298,-43.67405,went
-9.436424,-13.778777,even
-18.79098,48.151268,must
-23.540216,28.525274,much
53.943428,-19.855906,two
30.34737,1.5677725,against
-14.931601,38.487545,t
35.79586,9.1676655,children
45.65695,41.18217,9
18.03,7.8699303,own
45.632797,41.231453,8
17.851639,37.57657,Then
-18.37021,29.744364,make
-18.507484,47.232403,can
45.668053,41.2303,10
45.842216,41.21276,11
37.002964,9.525389,also
-25.320343,-50.48109,again
47.55597,-0.121104166,land
34.610435,37.899864,O
-9.457481,-59.2418,away
45.647907,41.330414,12
-6.193403,34.11488,thing
42.22712,17.310108,things
-19.058916,48.806393,might
-26.072277,29.318487,well
45.76485,41.124302,13
-28.77241,-38.013657,way
-28.847673,-40.381546,old
31.98376,44.619965,let
45.805717,41.025772,14
-9.888105,13.433872,yet
-9.817176,39.18569,how
-61.770786,12.167653,Mrs
-32.507977,-12.837656,first
45.88977,41.10231,15
-13.441116,46.25878,"!"""
-23.330877,29.106627,never
-50.140285,-19.803574,(
45.681423,41.222763,16
-30.398344,-31.248278,himself
-10.830555,-29.63158,long
43.289207,25.18951,saying
54.40905,30.041447,father
-7.947714,48.033524,You
20.586296,31.987747,give
23.223162,41.025864,shalt
-19.793148,38.265835,think
-9.420054,42.953434,What
32.013218,27.737358,Lord
-14.6447525,49.62923,because
-28.804354,2.036187,being
-13.657531,21.57891,ever
-26.684961,-42.461727,saw
-50.273033,-10.447463,She
45.75571,41.247566,18
-31.825064,-26.762045,has
13.314121,-12.926572,In
-39.649536,-10.3995,heard
12.243807,39.227043,To
-7.7325096,48.26653,They
-4.2511754,-4.278147,those
20.466475,31.994963,take
-9.46066,-59.258366,off
12.311963,11.845625,place
-30.226566,13.7407255,without
25.104519,-3.5124161,put
